date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.099,0.0,0.0,1.5,0.93,0.0,0.0,0.0,1.0,0.0,2.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-11,0.087,0.0,0.0,1.53,0.86,0.0,0.0,0.0,1.0,0.0,2.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-12,0.077,0.0,0.0,1.56,0.83,0.0,0.0,0.0,1.0,0.0,5.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,0.084,0.0,0.0,1.59,0.78,0.0,0.0,0.0,5.0,1.0,7.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-14,0.121,0.0,0.0,1.62,0.73,0.0,0.0,0.0,6.0,1.0,13.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-15,0.07,0.0,0.0,1.65,0.7,0.0,0.0,0.0,8.0,1.0,15.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,0.063,0.0,0.0,1.68,0.66,0.0,0.0,0.0,9.0,1.0,19.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,0.058,0.0,0.0,1.7,0.64,0.0,0.0,0.0,11.0,1.0,26.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,0.061,0.0,0.0,1.72,0.61,0.0,0.0,0.0,17.0,1.0,38.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-19,0.062,0.0,0.0,1.74,0.57,0.0,0.0,0.0,22.0,1.0,54.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-20,0.057,0.0,0.0,1.75,0.55,0.0,0.0,0.0,35.0,1.0,71.0,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-21,0.046,0.0,0.0,1.75,0.52,0.0,0.0,0.0,49.0,1.0,84.0,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.50390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.048,0.0,0.0,1.75,0.46,0.0,0.0,0.0,57.0,2.0,103.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.047,0.0,0.0,1.75,0.41,0.0,0.0,0.0,66.0,2.0,115.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.047,0.0,0.0,1.73,0.37,0.0,0.0,0.0,82.0,2.0,129.0,2572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,0.058,0.0,0.0,1.71,0.34,0.0,0.0,0.0,102.0,3.0,185.0,3037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-26,0.062,0.0,0.0,1.68,0.31,0.0,0.0,0.0,134.0,3.0,240.0,3658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
