date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,1.47,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,1.5,0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,1.54,0.84,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,1.56,0.85,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,1.59,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,1.62,0.79,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,1.64,0.75,0.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.6,0.0,0.0,1.66,0.72,0.0,0.0,0.0,12.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-18,0.459,0.0,0.0,1.67,0.68,0.0,0.0,0.0,14.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-19,0.388,0.0,0.0,1.67,0.63,0.0,0.0,0.0,19.0,0.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-20,0.361,0.0,0.0,1.67,0.59,0.0,0.0,0.0,22.0,2.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-21,0.339,0.0,0.0,1.67,0.54,0.0,0.0,0.0,29.0,2.0,47.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-22,0.264,0.0,0.0,1.65,0.49,0.0,0.0,0.0,49.0,2.0,55.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-23,0.12,0.0,0.0,1.64,0.45,0.0,0.0,0.0,52.0,2.0,89.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-24,0.108,1.0,0.0,1.61,0.41,0.0,0.0,0.0,75.0,2.0,103.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-25,0.109,1.0,0.0,1.59,0.36,0.0,0.0,0.0,95.0,7.0,140.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-26,0.105,1.0,0.0,1.55,0.34,0.0,0.0,0.0,123.0,8.0,164.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-27,0.107,1.0,0.0,1.51,0.34,0.0,0.0,0.0,158.0,9.0,199.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-28,0.097,1.0,0.0,1.47,0.32,0.0,0.0,0.0,184.0,10.0,221.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2020-03-29,0.094,1.0,0.0,1.42,0.3,0.0,0.0,0.0,211.0,12.0,240.0,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2020-03-30,0.105,1.0,0.0,1.37,0.28,0.0,0.0,0.0,235.0,12.0,273.0,2196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
