date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-14,0.412,0.0,0.0,1.5,0.93,0.0,0.0,0.0,7.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-15,0.318,0.0,0.0,1.51,0.54,0.0,0.0,0.0,9.0,0.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-16,0.116,0.0,0.0,1.51,0.45,0.0,0.0,0.0,16.0,0.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-17,0.109,0.0,0.0,1.51,0.45,0.0,0.0,0.0,22.0,0.0,10.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-18,0.219,0.0,0.0,1.51,0.41,0.0,0.0,0.0,22.0,0.0,28.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-19,0.197,0.0,0.0,1.5,0.38,0.0,0.0,0.0,33.0,0.0,47.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-20,0.184,0.0,0.0,1.49,0.35,0.0,0.0,0.0,62.0,0.0,51.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-21,0.109,0.0,0.0,1.48,0.32,0.0,0.0,0.0,100.0,0.0,58.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-22,0.062,0.0,0.0,1.47,0.3,0.0,0.0,0.0,118.0,0.0,73.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,0.056,0.0,0.0,1.45,0.29,0.0,0.0,0.0,165.0,0.0,78.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-24,0.067,0.0,0.0,1.43,0.27,0.0,0.0,0.0,201.0,0.0,114.0,1544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-25,0.057,0.0,0.0,1.41,0.26,0.0,0.0,0.0,231.0,2.0,126.0,1721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-26,0.051,1.0,0.0,1.39,0.24,0.0,0.0,0.0,307.0,2.0,166.0,2381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-03-27,0.058,1.0,0.0,1.37,0.22,0.0,0.0,0.0,350.0,3.0,207.0,2749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-03-28,0.06,1.0,0.0,1.35,0.22,0.0,0.0,0.0,385.0,3.0,233.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-03-29,0.062,1.0,0.0,1.32,0.21,0.0,0.0,0.0,409.0,5.0,262.0,3876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-03-30,0.063,1.0,0.0,1.3,0.2,0.0,0.0,0.0,449.0,6.0,287.0,4376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-03-31,0.055,1.0,0.0,1.27,0.2,0.0,0.0,0.0,508.0,7.0,325.0,5163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-04-01,0.054,1.0,0.0,1.25,0.2,0.0,0.0,0.0,564.0,8.0,381.0,6178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2020-04-02,0.056,1.0,0.0,1.24,0.19,0.0,0.0,0.0,624.0,10.0,430.0,6845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-03,0.052,1.0,0.0,1.22,0.18,0.0,0.0,0.0,683.0,12.0,463.0,7444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-04,0.05,1.0,0.0,1.21,0.18,0.0,0.0,0.0,738.0,12.0,496.0,8236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-05,0.052,1.0,0.0,1.2,0.19,0.0,0.0,0.0,743.0,14.0,543.0,8976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-06,0.049,1.0,0.0,1.19,0.18,0.0,0.0,0.0,853.0,16.0,598.0,10455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-07,0.049,1.0,0.0,1.19,0.18,0.0,0.0,0.0,927.0,16.0,636.0,11150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-08,0.057,1.0,0.0,1.18,0.17,0.0,0.0,0.0,997.0,18.0,729.0,11892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-09,0.059,1.0,0.0,1.18,0.16,0.0,0.0,0.0,1077.0,18.0,801.0,12734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-10,0.067,1.0,0.0,1.18,0.15,0.0,0.0,0.0,1146.0,21.0,940.0,14128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-11,0.064,1.0,0.0,1.19,0.14,0.0,0.0,0.0,1202.0,24.0,1009.0,15734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-12,0.063,1.0,0.0,1.19,0.15,0.0,0.0,0.0,1228.0,25.0,1089.0,17103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-13,0.067,1.0,0.0,1.19,0.16,0.0,0.0,0.0,1280.0,27.0,1117.0,17700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-14,0.068,1.0,0.0,1.19,0.16,0.0,0.0,0.0,1475.0,30.0,1135.0,17974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-15,0.064,1.0,0.0,1.19,0.18,0.0,0.0,0.0,1498.0,32.0,1195.0,18694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-16,0.062,1.0,0.0,1.19,0.18,0.0,0.0,0.0,1599.0,34.0,1245.0,19401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-17,0.053,1.0,0.0,1.19,0.18,0.0,0.0,0.0,1620.0,37.0,1288.0,20298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-18,0.057,1.0,0.0,1.18,0.19,0.0,0.0,0.0,1695.0,37.0,1335.0,21145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-19,0.074,1.0,0.0,1.16,0.18,0.0,0.0,0.0,1777.0,38.0,1470.0,21899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-20,0.116,1.0,0.0,1.14,0.18,0.0,0.0,0.0,1781.0,39.0,1786.0,22777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-04-21,0.119,1.0,0.0,1.12,0.17,0.0,0.0,0.0,1971.0,42.0,1875.0,23438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-04-22,0.113,1.0,0.0,1.09,0.17,0.0,0.0,0.0,2262.0,43.0,1933.0,24483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2020-04-23,0.106,1.0,0.0,1.06,0.15,0.0,0.0,0.0,2392.0,44.0,2026.0,25983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
