date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-05,0.125,0.0,0.0,1.73,0.86,0.0,0.0,0.0,2.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-06,0.085,0.0,0.0,1.77,0.71,0.0,0.0,0.0,2.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-07,0.052,0.0,0.0,1.81,0.65,0.0,0.0,0.0,3.0,0.0,5.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,0.05,0.0,0.0,1.86,0.59,0.0,0.0,0.0,7.0,0.0,6.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-09,0.069,0.0,0.0,1.89,0.54,0.0,0.0,0.0,11.0,0.0,11.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-10,0.054,0.0,0.0,1.93,0.52,0.0,0.0,0.0,17.0,0.0,20.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,0.047,0.0,0.0,1.97,0.52,0.0,0.0,0.0,22.0,0.0,31.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-12,0.074,0.0,0.0,2.0,0.57,0.0,0.0,0.0,31.0,0.0,75.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,0.084,0.0,0.0,2.02,0.44,0.0,0.0,0.0,31.0,1.0,140.0,1535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-14,0.114,0.0,0.0,2.04,0.36,0.0,0.0,0.0,41.0,1.0,266.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-15,0.127,0.0,0.0,2.05,0.34,0.0,0.0,0.0,65.0,1.0,345.0,2455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-16,0.143,0.0,0.0,2.06,0.34,0.0,0.0,0.0,97.0,1.0,463.0,2859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-17,0.144,0.0,0.0,2.05,0.29,0.0,0.0,0.0,118.0,1.0,678.0,4244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-18,0.144,0.0,0.0,2.05,0.24,0.0,0.0,0.0,142.0,1.0,964.0,6131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-19,0.148,0.0,0.0,2.03,0.23,0.0,0.0,0.0,193.0,3.0,1266.0,7801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-20,0.151,0.0,0.0,2.01,0.18,0.0,0.0,0.0,282.0,10.0,1572.0,9564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-21,0.152,0.0,0.0,1.97,0.13,0.0,0.0,0.0,482.0,14.0,1969.0,11617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-22,0.155,0.0,0.0,1.94,0.11,0.0,0.0,0.0,552.0,20.0,2162.0,12326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-23,0.159,0.0,0.0,1.89,0.14,0.0,0.0,0.0,620.0,25.0,2371.0,12935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-24,0.174,0.0,0.0,1.85,0.12,0.0,0.0,0.0,800.0,25.0,3012.0,15327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-25,0.19,1.0,0.0,1.8,0.11,0.0,0.0,0.0,1095.0,38.0,3696.0,17794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-26,0.2,1.0,0.0,1.75,0.1,0.0,0.0,0.0,1385.0,47.0,4377.0,20251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-27,0.208,1.0,0.0,1.7,0.1,0.0,0.0,0.0,1641.0,56.0,4981.0,22556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-28,0.219,1.0,0.0,1.66,0.1,0.0,0.0,0.0,2198.0,64.0,5622.0,24664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-29,0.226,1.0,0.0,1.61,0.1,0.0,0.0,0.0,2447.0,79.0,5971.0,25353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-30,0.23,1.0,0.0,1.56,0.1,0.0,0.0,0.0,2683.0,83.0,6265.0,25987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-31,0.233,1.0,0.0,1.52,0.1,0.0,0.0,0.0,3032.0,103.0,6946.0,28292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
