date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-09,0.923,0.0,0.0,1.41,0.95,0.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-10,0.949,0.0,0.0,1.45,0.78,0.0,0.0,0.0,5.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-11,0.897,0.0,0.0,1.48,0.73,0.0,0.0,0.0,7.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-12,0.771,0.0,0.0,1.52,0.7,0.0,0.0,0.0,7.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-13,0.236,0.0,0.0,1.56,0.69,0.0,0.0,0.0,11.0,0.0,16.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-14,0.149,0.0,0.0,1.59,0.66,0.0,0.0,0.0,11.0,0.0,24.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-15,0.177,0.0,0.0,1.62,0.63,0.0,0.0,0.0,18.0,0.0,32.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-16,0.14,0.0,0.0,1.65,0.61,0.0,0.0,0.0,21.0,0.0,42.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-17,0.137,0.0,0.0,1.68,0.59,0.0,0.0,0.0,22.0,1.0,46.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-18,0.1,0.0,0.0,1.7,0.56,0.0,0.0,0.0,26.0,1.0,55.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-19,0.11,0.0,0.0,1.72,0.53,0.0,0.0,0.0,35.0,1.0,79.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-20,0.118,0.0,0.0,1.73,0.51,0.0,0.0,0.0,47.0,2.0,115.0,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-21,0.096,0.0,0.0,1.74,0.44,0.0,0.0,0.0,63.0,2.0,160.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-22,0.078,0.0,0.0,1.74,0.38,0.0,0.0,0.0,84.0,3.0,202.0,2151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,0.072,0.0,0.0,1.74,0.36,0.0,0.0,0.0,103.0,3.0,263.0,3085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-24,0.076,0.0,0.0,1.72,0.32,0.0,0.0,0.0,124.0,3.0,332.0,3731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-25,0.082,0.0,0.0,1.7,0.28,0.0,0.0,0.0,157.0,3.0,411.0,4394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-26,0.078,0.0,0.0,1.68,0.24,0.0,0.0,0.0,198.0,5.0,496.0,5465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-27,0.081,0.0,0.0,1.65,0.23,0.0,0.0,0.0,248.0,5.0,611.0,6435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-28,0.088,0.0,0.0,1.62,0.22,0.0,0.0,0.0,302.0,8.0,796.0,8037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-29,0.097,0.0,0.0,1.58,0.18,0.0,0.0,0.0,394.0,9.0,937.0,8998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-30,0.102,1.0,0.0,1.55,0.19,0.0,0.0,0.0,439.0,9.0,1042.0,9964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-31,0.109,1.0,0.0,1.51,0.18,0.0,0.0,0.0,480.0,11.0,1213.0,10931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-01,0.117,1.0,0.0,1.48,0.17,0.0,0.0,0.0,590.0,18.0,1399.0,11882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
