date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,1.27,1.0,0.0,0.0,0.0,1.0,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.021,0.0,0.0,1.28,0.83,0.0,0.0,0.0,1.0,0.0,1.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.013,0.0,0.0,1.3,0.79,0.0,0.0,0.0,1.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.013,0.0,0.0,1.31,0.76,0.0,0.0,0.0,1.0,0.0,3.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.02,0.0,0.0,1.32,0.75,0.0,0.0,0.0,5.0,0.0,7.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.029,0.0,0.0,1.33,0.72,0.0,0.0,0.0,7.0,0.0,18.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.034,0.0,0.0,1.34,0.72,0.0,0.0,0.0,19.0,0.0,33.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.03,0.0,0.0,1.35,0.67,0.0,0.0,0.0,27.0,0.0,36.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.027,0.0,0.0,1.35,0.65,0.0,0.0,0.0,28.0,0.0,36.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.027,0.0,0.0,1.35,0.63,0.0,0.0,0.0,30.0,0.0,39.0,1476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.026,0.0,0.0,1.35,0.61,0.0,0.0,0.0,32.0,0.0,40.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,0.025,0.0,0.0,1.34,0.59,0.0,0.0,0.0,37.0,0.0,46.0,1873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.025,0.0,0.0,1.33,0.56,0.0,0.0,0.0,45.0,0.0,59.0,2196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,0.021,0.0,0.0,1.32,0.54,0.0,0.0,0.0,58.0,0.0,70.0,2710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.029,0.0,0.0,1.31,0.52,0.0,0.0,0.0,68.0,1.0,98.0,3304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.03,1.0,0.0,1.29,0.49,0.0,0.0,0.0,93.0,1.0,113.0,3837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-03-30,0.031,1.0,0.0,1.27,0.46,0.0,0.0,0.0,97.0,1.0,121.0,4054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-03-31,0.034,1.0,0.0,1.25,0.44,0.0,0.0,0.0,109.0,3.0,136.0,4335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-04-01,0.036,1.0,0.0,1.23,0.43,0.0,0.0,0.0,126.0,3.0,160.0,4898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-02,0.035,1.0,0.0,1.21,0.41,0.0,0.0,0.0,147.0,3.0,181.0,5607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-03,0.035,1.0,0.0,1.2,0.39,0.0,0.0,0.0,159.0,3.0,191.0,6064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-04,0.036,1.0,0.0,1.19,0.38,0.0,0.0,0.0,173.0,3.0,216.0,6505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-05,0.038,1.0,0.0,1.19,0.37,0.0,0.0,0.0,186.0,3.0,244.0,7152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-06,0.038,1.0,0.0,1.19,0.34,0.0,0.0,0.0,207.0,3.0,266.0,7712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
