date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-06,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-07,0.211,0.0,0.0,2.28,0.7,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-08,0.172,0.0,0.0,2.32,0.53,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-09,0.176,0.0,0.0,2.35,0.46,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-10,0.333,0.0,0.0,2.38,0.45,0.0,0.0,0.0,11.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-11,0.4,0.0,0.0,2.41,0.47,0.0,0.0,0.0,15.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-12,0.333,0.0,0.0,2.43,0.33,0.0,0.0,0.0,23.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-13,0.25,0.0,0.0,2.44,0.32,0.0,0.0,0.0,29.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-14,0.25,0.0,0.0,2.44,0.29,0.0,0.0,0.0,50.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-15,0.25,0.0,0.0,2.44,0.27,0.0,0.0,0.0,75.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-16,0.2,0.0,0.0,2.43,0.21,0.0,0.0,0.0,98.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-17,0.2,0.0,0.0,2.41,0.15,0.0,0.0,0.0,176.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-18,0.5,0.0,0.0,2.38,0.2,0.0,0.0,0.0,268.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-19,0.4,0.0,0.0,2.34,0.15,0.0,0.0,0.0,427.0,5.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-20,0.387,1.0,0.0,2.31,0.12,0.0,0.0,0.0,735.0,9.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-21,0.419,1.0,0.0,2.25,0.1,0.0,0.0,0.0,896.0,11.0,21.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-22,0.475,1.0,0.0,2.19,0.1,0.0,0.0,0.0,1336.0,16.0,32.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-23,0.5,1.0,0.0,2.12,0.1,0.0,0.0,0.0,1914.0,20.0,35.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-24,0.506,1.0,0.0,2.05,0.1,0.0,0.0,0.0,2844.0,27.0,43.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-25,0.518,1.0,0.0,1.98,0.1,0.0,0.0,0.0,3675.0,44.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-26,0.541,1.0,0.0,1.91,0.1,0.0,0.0,0.0,4402.0,62.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-27,0.518,1.0,0.0,1.83,0.1,0.0,0.0,0.0,6876.0,82.0,73.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-28,0.539,2.0,0.0,1.76,0.1,0.0,0.0,0.0,8825.0,108.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-29,0.51,2.0,0.0,1.69,0.1,0.0,0.0,0.0,11124.0,140.0,107.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2299.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-30,0.52,2.0,0.0,1.62,0.1,0.0,0.0,0.0,13386.0,161.0,126.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2262.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-31,0.5,2.0,0.0,1.55,0.1,0.0,0.0,0.0,16636.0,199.0,146.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-01,0.498,2.0,0.0,1.49,0.1,0.0,0.0,0.0,18696.0,267.0,178.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-02,0.471,3.0,0.0,1.43,0.1,0.0,0.0,0.0,22255.0,355.0,257.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-03,0.483,3.0,0.0,1.37,0.1,0.0,0.0,0.0,25590.0,539.0,356.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-04,0.491,3.0,0.0,1.32,0.1,0.0,0.0,0.0,29895.0,647.0,491.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4305.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-05,0.494,3.0,0.0,1.27,0.1,0.0,0.0,0.0,34124.0,847.0,584.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4229.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-06,0.522,3.0,0.0,1.23,0.1,0.0,0.0,0.0,37505.0,917.0,754.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3381.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-07,0.526,3.0,0.0,1.19,0.1,0.0,0.0,0.0,41090.0,1005.0,951.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3585.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-08,0.532,3.0,0.0,1.16,0.1,0.0,0.0,0.0,44416.0,1232.0,1121.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3326.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-09,0.563,3.0,0.0,1.13,0.1,0.0,0.0,0.0,47437.0,1504.0,1404.0,1169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-10,0.574,3.0,0.0,1.1,0.1,0.0,0.0,0.0,51027.0,1700.0,1618.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-11,0.559,3.0,0.0,1.08,0.1,0.0,0.0,0.0,54588.0,1932.0,1786.0,1527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-12,0.553,3.0,0.0,1.06,0.1,0.0,0.0,0.0,58151.0,2183.0,1917.0,1679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3563.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-13,0.543,3.0,0.0,1.04,0.1,0.0,0.0,0.0,61850.0,2350.0,2038.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-14,0.529,3.0,0.0,1.02,0.1,0.0,0.0,0.0,64584.0,2443.0,2269.0,2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-15,0.508,3.0,0.0,1.01,0.1,0.0,0.0,0.0,68824.0,2805.0,2487.0,2329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4240.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-16,0.456,3.0,0.0,1.0,0.1,0.0,0.0,0.0,71030.0,3156.0,2681.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2206.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-17,0.423,3.0,0.0,0.99,0.1,0.0,0.0,0.0,75317.0,3518.0,2782.0,2908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4287.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-18,0.43,3.0,0.0,0.98,0.1,0.0,0.0,0.0,78467.0,3840.0,3007.0,3148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3150.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
