date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-08,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-09,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-10,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-11,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-12,0.077,0.0,0.0,1.8,0.84,0.0,0.0,0.0,4.0,0.0,20.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,0.073,0.0,0.0,1.82,0.48,0.0,0.0,0.0,5.0,0.0,32.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,0.051,0.0,0.0,1.84,0.42,0.0,0.0,0.0,13.0,0.0,44.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,0.047,0.0,0.0,1.85,0.37,0.0,0.0,0.0,26.0,0.0,63.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.039,0.0,0.0,1.86,0.35,0.0,0.0,0.0,37.0,0.0,95.0,2244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.039,0.0,0.0,1.87,0.32,0.0,0.0,0.0,50.0,0.0,164.0,3972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.037,0.0,0.0,1.87,0.29,0.0,0.0,0.0,67.0,0.0,238.0,5824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.039,0.0,0.0,1.87,0.29,0.0,0.0,0.0,90.0,0.0,307.0,7408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.038,0.0,0.0,1.86,0.26,0.0,0.0,0.0,120.0,0.0,354.0,8581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.039,0.0,0.0,1.85,0.23,0.0,0.0,0.0,169.0,1.0,410.0,9792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.041,0.0,0.0,1.83,0.22,0.0,0.0,0.0,247.0,3.0,478.0,10978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.047,0.0,0.0,1.81,0.19,0.0,0.0,0.0,351.0,3.0,608.0,12583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.051,0.0,0.0,1.78,0.17,0.0,0.0,0.0,444.0,6.0,660.0,13250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-25,0.058,0.0,0.0,1.75,0.15,0.0,0.0,0.0,564.0,8.0,753.0,14244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-26,0.063,0.0,0.0,1.71,0.14,0.0,0.0,0.0,707.0,11.0,898.0,16172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-27,0.072,0.0,0.0,1.67,0.13,0.0,0.0,0.0,867.0,15.0,1162.0,18934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-28,0.083,1.0,0.0,1.62,0.11,0.0,0.0,0.0,1144.0,22.0,1496.0,21786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2020-03-29,0.089,1.0,0.0,1.57,0.1,0.0,0.0,0.0,1406.0,25.0,1716.0,23667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2020-03-30,0.096,1.0,0.0,1.53,0.1,0.0,0.0,0.0,1665.0,30.0,1989.0,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2020-03-31,0.1,1.0,0.0,1.48,0.1,0.0,0.0,0.0,1933.0,40.0,2287.0,27843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-04-01,0.107,1.0,0.0,1.44,0.1,0.0,0.0,0.0,2199.0,55.0,2668.0,30172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
