changes,anger,fear,happiness,no specific emotion,sadness
1257356,23314,21645,28811,16626,6264
-1000589,17759,14470,17937,10527,4565
500304,16297,13676,14739,9321,4498
-378535,16460,14350,17430,10500,4554
386215,22508,20936,30330,16588,9156
25,19668,15966,25384,13301,6563
-633134,25949,20401,28127,17094,6019
71389,23783,20042,26730,15911,5838
129135,18658,14109,17835,10700,5151
-83470,19564,14272,18784,11433,4772
-74098,24588,21478,29677,17362,5890
-49804,23737,20926,28641,16592,5884
4239,21792,20755,26770,15495,5315
159120,20687,20930,26826,15380,4905
141791,20600,19792,27614,16136,5104
57560,18401,14274,17317,10822,4194
-35376,18212,14160,17356,11274,4297
-80753,20529,18344,26181,15218,4788
-107864,20038,17833,27500,15415,5058
-131104,21026,18287,27693,15669,5053
206229,20254,18879,26736,15067,4850
117925,19614,16656,27978,15070,4697
78897,15145,12410,15846,9256,4130
219915,18535,12253,19358,11014,4696
17412,19826,19844,23749,13915,6162
-443167,19361,18077,23663,13757,4298
17,19314,17208,25364,14183,4384
257581,20129,18328,25115,13703,4645
80468,17580,16182,22493,12474,4238
182071,16073,10967,14183,8372,3130
79777,12136,9998,12893,7155,2845
-3144,16804,15017,17581,10490,3691
-475523,19688,17808,22435,12885,4395
22,19191,18090,22397,12980,4562
-12642,19706,17339,21705,12400,4164
185625,17545,15685,22065,12154,3730
1021886,13048,10880,13783,8102,3115
-803899,13607,12372,13228,8421,3711
114675,18805,19003,24061,13756,7014
-332182,18783,16565,23786,13147,5415
-183808,18236,16517,27974,14768,4696
272205,18938,16725,26959,14176,4433
146795,18473,14943,27241,13559,3995
176993,16676,11497,20699,10227,3677
36532,14824,10821,15761,9218,3248
-8984,18329,15597,25586,13939,4042
-381011,33013,22514,32746,19524,6399
11116,29094,19482,30177,17209,4902
90477,27325,18875,29394,16206,4571
33568,24308,17675,29432,15534,4490
79295,19067,11770,24488,11613,3873
163922,15989,10893,17180,9472,3451
-163943,16582,15422,27120,13680,3691
-96268,17462,15635,27766,13755,3881
-235422,21471,16413,38980,16526,4717
213923,22595,19094,38936,18116,5747
170536,17981,14054,25952,13081,4015
168751,13831,10637,16941,9023,2993
774644,14720,10524,15870,8824,3328
-1365474,18094,16209,25583,14008,3826
330366,17398,16252,26621,13616,3619
-160915,18687,15352,24727,12737,3821
231812,17457,15914,24138,12245,3516
45692,15896,18486,22707,10786,3334
-39733,14615,13664,14881,7950,3234
149671,12876,13728,13239,7100,2771
2897,15615,19277,26544,11657,3728
-329463,13198,18530,22912,11294,2921
-139514,13452,17732,23601,11298,3041
199144,17436,17502,23538,11315,3492
215160,15499,16537,21843,10701,3120
214428,10767,11278,12980,6603,2242
176159,12771,12411,12721,6847,2476
4958,19857,22579,25245,11400,3423
-421850,20801,21161,23775,11235,3452
-204527,17905,20220,25392,11103,3242
359625,18540,17892,24524,11045,3566
299330,14338,15382,21795,9290,3168
404640,11127,10876,14583,6186,2333
-10322,10209,9860,12474,5357,2125
-305591,17691,17505,23839,10852,3469
-580227,17089,19093,24980,11079,3463
-356992,15983,20267,23719,11030,3534
770621,15552,18531,21002,9980,3086
375713,14244,17589,21433,9629,2987
220196,12170,13193,13896,6679,2490
479922,11477,12447,12871,6396,2462
-551721,14542,17150,21375,10251,3598
-498145,15933,23059,21176,11598,3246
-171880,14706,17912,20493,9434,3022
93410,15850,19636,21087,10969,3177
439877,13701,16688,20157,9109,2822
312453,10416,11363,14726,5701,2481
-248596,11548,12412,15075,5923,2171
-69406,14345,16686,23554,9377,2985
-680476,13856,16072,22471,9159,3068
-239029,12460,15228,21238,8654,2642
497934,13737,17242,19564,9218,2716
279938,13513,17710,24906,10332,2760
278536,11624,13054,17860,6296,2263
-32375,12841,14293,18984,6839,2448
-203165,16114,18258,25243,9840,3044
178644,19606,21646,26227,10713,3757
-993971,17019,19228,24572,10199,3291
436267,13272,16578,21032,8935,2809
323638,13372,16316,22294,8816,2844
115307,10038,11467,16779,5937,2148
281914,9311,10197,15658,5368,1922
-669907,17235,18631,24135,9694,3257
-600913,15454,17683,23911,9956,3206
-104581,14646,16334,23934,9580,2761
535218,13678,16379,21675,8995,2677
408372,13828,16111,21959,8793,2775
342568,10097,10671,11360,5830,2090
-184188,8897,9679,10594,4952,1998
-119529,13472,16135,19673,9117,2825
-352204,15785,15735,20253,9055,2638
-222380,14283,15366,25095,9362,2760
21208,19796,20598,25806,11659,3158
274499,17738,19027,20166,9904,2819
-75802,11157,11157,10516,5671,2010
236873,10317,10030,11632,5055,1726
-279116,13405,14525,22367,8373,2508
-396155,13502,14467,21359,7959,2509
-196750,12419,13086,19708,7888,2284
358459,12702,13220,18900,7838,2518
154619,10956,12155,19956,7141,2150
22423,9293,8974,15216,4946,1539
54768,10763,10960,13176,5417,1728
-221776,14498,15571,18008,7837,2140
-399733,14101,13716,18326,7529,2058
-137643,15666,15064,18134,7804,2129
305406,15654,14174,16143,7479,2177
148456,12438,12191,16571,7105,2101
-158715,10249,8242,10873,5273,1474
126129,9456,8713,7565,4394,1430
-213731,8589,8379,7840,4656,1638
-276082,11098,11729,13556,6725,2025
30,14018,12386,13839,7441,2146
-102948,14829,12946,13877,7230,1923
195982,13835,12082,12824,6807,1995
320617,11010,8797,8242,4692,1513
-152623,10266,8029,7448,4361,1452
204690,12438,11441,12247,6442,1847
-84695,10975,10939,12667,6538,1755
-80901,12796,12742,13349,6811,1805
-157226,11879,12970,13158,6705,1837
65889,10371,11166,12794,6165,1723
-85735,7617,7454,6747,3807,1302
504687,8343,8238,6788,3896,1373
-224358,11070,12158,13730,6294,1955
195154,12332,13811,14112,7542,2328
-150973,13743,12410,12610,7039,2526
-150137,10059,11136,11348,6211,1973
598848,10179,11170,11352,5957,1850
-593020,7968,8025,6607,3546,1463
-36109,6996,7085,6332,3372,1499
-118305,10301,11367,11034,5587,1853
-163806,10906,12858,12474,6319,1797
2712,10362,13012,11389,6554,1760
-18702,10129,12847,10714,6067,1772
99617,9970,11131,9962,5539,2041
-103500,10665,8919,6491,4147,1825
208805,8789,8320,6400,3772,1428
279596,10211,11656,10499,5717,1929
-106910,10367,12057,11328,5737,1754
-315668,10107,11271,11823,5688,1754
260278,8627,9484,10185,5128,1551
313632,8226,8533,9684,4739,1478
-628105,6686,6384,5872,3208,1214
356464,6323,6500,5904,3066,1207
-382988,8705,9833,7772,4172,1555
-183993,10696,12353,10961,5994,1964
32,11506,13296,10621,6294,2177
115300,14020,16446,11849,7422,2318
105655,11680,13985,10430,6074,1923
-38076,9561,9885,6887,4249,1666
-15348,10843,13073,7560,4513,1859
-13455,14236,16274,11322,7021,2397
-79611,14055,16519,11287,7021,2189
-55359,16024,17661,12167,7816,2567
274060,18244,18859,12327,8528,3031
-169306,20925,20607,12790,8822,3152
-9661,19403,16611,10048,7010,2617
34756,16352,15297,9463,6742,2380
-68317,24620,23113,16484,10327,3418
3157,28284,25016,16339,11565,3972
-70739,26559,27576,15756,10563,4321
90705,30656,29461,16397,11595,4543
16544,29276,26871,16087,10827,4166
-18500,22541,18993,10292,7419,3171
30587,21231,17364,9671,7271,2994
8564,24886,25317,17002,12075,3860
-149675,28746,28061,16738,12966,4311
-7514,31935,29291,18474,13249,4761
135198,36402,31969,19336,14001,5007
-968,37381,35693,19212,14124,5550
38825,27705,24957,14001,9984,4328
-53741,25790,23299,13297,9076,4238
49825,33386,31566,20652,14465,5159
-148259,34163,31691,19994,14638,5360
1843,41112,34925,21042,16156,6281
86859,36939,33290,20926,15074,5542
51465,33592,31301,20170,13692,5082
-21955,27852,24905,15832,9957,4482
3589,29074,24978,15124,9749,4295
-9402,37047,35815,22045,14519,5492
-97111,38760,36310,20850,14575,5744
30462,37934,37440,21189,15221,5678
34310,37154,36438,22372,15117,5538
6099,32537,34305,21770,13922,5368
95244,24438,23501,13907,8859,3789
46987,20107,19225,11301,7338,3220
-119394,23158,25603,18030,11241,4027
54776,32744,33023,25025,16788,5802
-118437,31906,32718,21965,15095,5441
80053,29739,30210,20031,13006,5583
117130,31053,29641,19976,12422,5102
81,27246,24648,14145,10312,4464
396,24995,23465,13051,8864,4444
9176,35573,34062,30936,14751,5975
-148164,33806,32787,21800,14732,5642
12280,33796,33679,21320,14604,5817
124415,31214,30889,19050,12784,5866
-7296,29169,30921,18013,12889,5644
78414,24186,23072,12261,9233,4683
-21399,22796,21194,10742,8124,4653
-38127,28823,27670,17187,12062,5598
-102954,27551,26500,17387,11461,5133
