time,anger,fear,happiness ,no specific emotion,sadness
2021-01-15,23314,21645,28811,16626,6264
2021-01-16,17759,14470,17937,10527,4565
2021-01-17,16297,13676,14739,9321,4498
2021-01-18,16460,14350,17430,10500,4554
2021-01-19,22508,20936,30330,16588,9156
2021-01-20,19668,15966,25384,13301,6563
2021-01-21,25949,20401,28127,17094,6019
2021-01-22,23783,20042,26730,15911,5838
2021-01-23,18658,14109,17835,10700,5151
2021-01-24,19564,14272,18784,11433,4772
2021-01-25,24588,21478,29677,17362,5890
2021-01-26,23737,20926,28641,16592,5884
2021-01-27,21792,20755,26770,15495,5315
2021-01-28,20687,20930,26826,15380,4905
2021-01-29,20600,19792,27614,16136,5104
2021-01-30,18401,14274,17317,10822,4194
2021-01-31,18212,14160,17356,11274,4297
2021-02-01,20529,18344,26181,15218,4788
2021-02-02,20038,17833,27500,15415,5058
2021-02-03,21026,18287,27693,15669,5053
2021-02-04,20254,18879,26736,15067,4850
2021-02-05,19614,16656,27978,15070,4697
2021-02-06,15145,12410,15846,9256,4130
2021-02-07,18535,12253,19358,11014,4696
2021-02-08,19826,19844,23749,13915,6162
2021-02-09,19361,18077,23663,13757,4298
2021-02-10,19314,17208,25364,14183,4384
2021-02-11,20129,18328,25115,13703,4645
2021-02-12,17580,16182,22493,12474,4238
2021-02-13,16073,10967,14183,8372,3130
2021-02-14,12136,9998,12893,7155,2845
2021-02-15,16804,15017,17581,10490,3691
2021-02-16,19688,17808,22435,12885,4395
2021-02-17,19191,18090,22397,12980,4562
2021-02-18,19706,17339,21705,12400,4164
2021-02-19,17545,15685,22065,12154,3730
2021-02-20,13048,10880,13783,8102,3115
2021-02-21,13607,12372,13228,8421,3711
2021-02-22,18805,19003,24061,13756,7014
2021-02-23,18783,16565,23786,13147,5415
2021-02-24,18236,16517,27974,14768,4696
2021-02-25,18938,16725,26959,14176,4433
2021-02-26,18473,14943,27241,13559,3995
2021-02-27,16676,11497,20699,10227,3677
2021-02-28,14824,10821,15761,9218,3248
2021-03-01,18329,15597,25586,13939,4042
2021-03-02,33013,22514,32746,19524,6399
2021-03-03,29094,19482,30177,17209,4902
2021-03-04,27325,18875,29394,16206,4571
2021-03-05,24308,17675,29432,15534,4490
2021-03-06,19067,11770,24488,11613,3873
2021-03-07,15989,10893,17180,9472,3451
2021-03-08,16582,15422,27120,13680,3691
2021-03-09,17462,15635,27766,13755,3881
2021-03-10,21471,16413,38980,16526,4717
2021-03-11,22595,19094,38936,18116,5747
2021-03-12,17981,14054,25952,13081,4015
2021-03-13,13831,10637,16941,9023,2993
2021-03-14,14720,10524,15870,8824,3328
2021-03-15,18094,16209,25583,14008,3826
2021-03-16,17398,16252,26621,13616,3619
2021-03-17,18687,15352,24727,12737,3821
2021-03-18,17457,15914,24138,12245,3516
2021-03-19,15896,18486,22707,10786,3334
2021-03-20,14615,13664,14881,7950,3234
2021-03-21,12876,13728,13239,7100,2771
2021-03-22,15615,19277,26544,11657,3728
2021-03-23,13198,18530,22912,11294,2921
2021-03-24,13452,17732,23601,11298,3041
2021-03-25,17436,17502,23538,11315,3492
2021-03-26,15499,16537,21843,10701,3120
2021-03-27,10767,11278,12980,6603,2242
2021-03-28,12771,12411,12721,6847,2476
2021-03-29,19857,22579,25245,11400,3423
2021-03-30,20801,21161,23775,11235,3452
2021-03-31,17905,20220,25392,11103,3242
